sigma,u2_GQ,u3_GQ,u4_GQ
0.01,0.24955166469496412,0.07194475112313783,0.022342264358726237
0.010974987654930561,0.24950802014761228,0.07192295683116665,0.022332837691434557
0.012045035402587823,0.24946013411386525,0.07189904670467909,0.022322493350069295
0.013219411484660288,0.2494075958701454,0.07187281815683066,0.02231115275753956
0.014508287784959394,0.24934995522173758,0.0718440452682866,0.02229871348649444
0.015922827933410922,0.24928671877158387,0.07181248322651705,0.022285072496235642
0.01747528400007684,0.2492173458474845,0.07177786458649085,0.022270112262341064
0.019179102616724886,0.24914124406235333,0.07173989651444164,0.022253708637722316
0.02104904144512021,0.2490577644746919,0.07169825516486049,0.02223578886537127
0.023101297000831605,0.24896619631860234,0.07165258785692034,0.022215994786900846
0.025353644939701114,0.24886576126951918,0.07160251238248676,0.02219437173334304
0.027825594022071243,0.24875560720785211,0.07154760603806852,0.022170671551715693
0.030538555088334154,0.24863480145084163,0.07148740992017381,0.022144694358275596
0.033516026509388425,0.24850232340250428,0.07142141912233682,0.02211624361735435
0.03678379771828634,0.24835705659408294,0.0713490849984076,0.0220850340761108
0.040370172585965536,0.2481977800690799,0.07126980673295163,0.022050860011466264
0.044306214575838825,0.24802315907451494,0.07118292928761036,0.02201342726005033
0.04862601580065353,0.24783173502028608,0.071087737837151,0.02197243215763406
0.0533669923120631,0.24762191466915562,0.07098345427482247,0.02192754482150886
0.05857020818056667,0.24739195852356993,0.07086923007301259,0.0218784077453599
0.06428073117284322,0.2471399683798442,0.07074414151249331,0.021824633476936663
0.07054802310718646,0.2468638740263444,0.07060718279890728,0.02176578576664774
0.0774263682681127,0.24656141907187692,0.07045726349791766,0.021701435151317203
0.08497534359086446,0.24623014590000694,0.07029319853687988,0.021631063648194233
0.093260334688322,0.2458673797618695,0.07011370216655266,0.021554145070000624
0.10235310218990264,0.24547021203721603,0.06991738385145413,0.021470103297762833
0.11233240329780277,0.24503548271726194,0.06970273891374835,0.021378317644697057
0.12328467394420665,0.24455976219194955,0.06946814133781774,0.021278122628319185
0.13530477745798075,0.24403933245963147,0.0692118391254853,0.021168803708167764
0.1484968262254465,0.2434701679194876,0.06893194820768417,0.02104959817323335
0.16297508346206444,0.242847915961556,0.06862644373447517,0.020919692530027276
0.1788649529057435,0.24216787762505979,0.06829315761199854,0.020778222879100444
0.19630406500402714,0.24142498867637027,0.06792977298921829,0.020624274571779507
0.21544346900318845,0.24061380153669754,0.06753382194152918,0.020456883994955564
0.23644894126454083,0.23972846859234967,0.06710268414938357,0.020275038614109096
0.25950242113997374,0.23876272753303004,0.06663358643957126,0.020077686085228138
0.2848035868435802,0.2377098894931134,0.06612360951689236,0.019863730686975094
0.3125715849688237,0.23656283091593192,0.06556969203858902,0.019632048105623905
0.34304692863149194,0.2353139902214964,0.06496864247062431,0.01938148950585694
0.37649358067924693,0.23395537053231127,0.06431715440822479,0.01911089546761581
0.41320124001153385,0.23247854989779762,0.06361182781804892,0.018819109806085248
0.4534878508128584,0.23087470064933505,0.0628491961269865,0.018504996413588038
0.49770235643321115,0.2291346197108353,0.06202576165072964,0.018167461020242373
0.5462277217684343,0.22724877187146764,0.061138038741378804,0.017805475514101166
0.5994842503189411,0.22520734818701738,0.060182603919630304,0.017418106585301567
0.6579332246575682,0.22300034179603676,0.05915616140775972,0.01700454863818327
0.7220809018385468,0.22061764349529522,0.058055614286923726,0.01656416019522015
0.7924828983539177,0.21804915938795305,0.056878149092456594,0.01609650446037227
0.8697490026177834,0.21528495277213802,0.05562133169165166,0.015601393362420526
0.9545484566618342,0.21231541212359056,0.0542832137876646,0.01507893322079777
1.0476157527896652,0.20913144653358134,0.05286244943537706,0.014529572263285351
1.149756995397737,0.20572470921584857,0.05135842018084036,0.013954147873695862
1.261856883066021,0.2020878486815816,0.04977136567355854,0.013353930802413823
1.384886371393873,0.19821478585210928,0.048102516450370635,0.01273066512460594
1.5199110829529348,0.19410101371778465,0.04635422394843886,0.012086600005233697
1.6681005372000592,0.1897439141597299,0.04453008175353063,0.011424510024264607
1.8307382802953698,0.185143084259315,0.04263503062330641,0.010747701291438656
2.0092330025650478,0.18030066190167843,0.04067544153842852,0.010059999012131763
2.2051307399030455,0.1752216378587427,0.03865916032105598,0.009365713792656154
2.4201282647943834,0.1699141389982876,0.03659551743439768,0.008669584055418523
2.656087782946687,0.16438966505580382,0.034495281426574875,0.007976692981557502
2.9150530628251787,0.15866325983035057,0.032370556211052955,0.007292360238204291
3.1992671377973845,0.15275359707199773,0.03023461430041085,0.0066220101754284515
3.5111917342151346,0.14668296207637294,0.028101664242795275,0.005971020733726427
3.8535285937105312,0.14047711241776462,0.02598655430380377,0.005344559197175484
4.229242874389499,0.134165005570114,0.023904419357763163,0.0047474133125763604
4.641588833612782,0.1277783874564684,0.021870283271122778,0.004183827643984192
5.09413801481638,0.12135124407781177,0.019898634256770603,0.003657356187180349
5.590810182512229,0.11491912786352809,0.018002995109785043,0.0031707419395458365
6.135907273413176,0.1085183805268733,0.016195513221456438,0.00272583283648715
6.7341506577508286,0.10218528400000805,0.0144865961877124,0.0023235412487598774
7.390722033525782,0.0959551792955567,0.012884617253803974,0.001963850214502486
8.111308307896872,0.08986159870910967,0.011395710645165062,0.0016458662161731603
8.902150854450392,0.08393545863494346,0.010023670286374289,0.0013679135970619551
9.770099572992256,0.07820435779890973,0.00876995716174598,0.0011276622948120556
10.722672220103243,0.07269201885793324,0.007633811598042778,0.000922277875130603
11.768119524349991,0.06741790065307506,0.0066124581967073135,0.0007485814634423623
12.91549665014884,0.06239699510841096,0.005701384119389494,0.0006032074250864633
14.174741629268063,0.05763980844430309,0.004894666800621856,0.0004827481577885204
15.556761439304722,0.05315251278003496,0.004185325391260854,0.00038387784070053677
17.07352647470692,0.04893724293873438,0.0035656713130339146,0.00030345050039572304
18.73817422860385,0.04499250550148668,0.0030276367767895274,0.00023857006179939805
20.565123083486537,0.041313663437376545,0.0025630652176299048,0.00018663389996668116
22.570197196339215,0.037893459860089344,0.0021639534426915836,0.00014535260057515752
24.770763559917114,0.03472254797718993,0.0018226410071777131,0.00011275037267265511
27.185882427329428,0.03179000010093184,0.001531947262063808,8.71509321771816e-05
29.836472402833405,0.029083775558155067,0.001285260258969207,6.715357263004421e-05
32.745491628777316,0.026591134443479634,0.001076584141635723,5.160356771646958e-05
35.938136638046295,0.02429899061307296,0.0009005528092688007,3.956030400997333e-05
39.4420605943766,0.022194202622119977,0.0007524178549320777,3.026560627132806e-05
43.287612810830616,0.020263805261138447,0.000628018136083834,2.3113967681641747e-05
47.50810162102798,0.018495186966149584,0.000523737467698576,1.762567970364609e-05
52.140082879996896,0.016876219836832802,0.0004364555943191847,1.3423341883223432e-05
57.223676593502205,0.015395349540292187,0.0003634965272419483,1.0211823050985963e-05
62.802914418342596,0.01404165226513877,0.00030257713757739506,7.761506813457644e-06
68.92612104349702,0.012804865355687992,0.00025175802502982986,5.894585333004896e-06
75.64633275546291,0.011675397489331238,0.00020939786468585075,4.473802423156958e-06
83.02175681319753,0.01064432340230896,0.00017411195213198712,3.3936135797059073e-06
91.11627561154896,0.009703367315413044,0.00014473514937981172,2.57305680344227e-06
100.0,0.008844878419541725,0.00012028922731917818,1.9501589812865514e-06
